Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
1,1124,1,Apr 4,CIN,,PHI,W6-2,CG,4,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.250,.250,.250,.500,5,.82,-0.045,0.26,7.00,10.00,RF
2,1125,2,Apr 6,CIN,,PHI,W3-2,CG,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.375,.375,.375,.750,5,2.65,0.180,0.71,6.00,6.00,RF
3,1126,3,Apr 7,CIN,,PHI,W10-6,CG,4,4,2,3,0,0,2,5,0,0,0,0,0,0,0,0,0,0,.500,.500,1.000,1.500,5,.90,0.246,4.01,37.00,50.90,RF
4,1127,4,Apr 8,CIN,,PIT,L5-6,GS-8,4,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.400,.438,.800,1.238,6,.53,0.036,0.43,4.00,6.20,RF
5,1128,5,Apr 9,CIN,,PIT,W5-1,CG,4,4,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,.368,.400,.684,1.084,5,.61,0.035,0.15,5.00,6.50,RF
6,1129,6,Apr 10,CIN,,PIT,W2-1,CG,4,4,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.391,.417,.739,1.156,6,1.59,0.339,1.38,13.00,15.50,RF
7,1130,7,Apr 11,CIN,@,CHC,L3-5,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.333,.357,.630,.987,6,1.00,-0.130,-1.54,0.00,0.00,RF
8,1131,8,Apr 13,CIN,@,CHC,L2-9,CG,4,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,.300,.313,.567,.879,5,.89,-0.024,-1.16,2.00,3.50,RF
9,1132,9,Apr 14,CIN,@,CHC,L1-8,CG,4,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.333,.361,.606,.967,5,.76,0.063,0.95,12.00,15.20,RF
10,1133,10,Apr 15,CIN,@,STL,L3-14,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.297,.325,.541,.866,5,.37,-0.037,-0.86,0.00,0.00,RF
11,1134,11,Apr 16,CIN,@,STL,W9-8,CG,5,5,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.310,.333,.595,.929,5,.97,0.048,0.93,19.00,25.20,RF
12,1135,12,Apr 17,CIN,@,STL,L3-4,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.304,.327,.565,.892,5,1.93,0.012,0.42,5.00,6.20,RF
13,1136,13,Apr 18,CIN,,COL,L1-5,CG,4,4,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,.300,.321,.560,.881,5,.91,-0.092,-0.73,5.00,6.00,RF
14,1137,14,Apr 19,CIN,,COL,W4-3,CG,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,.278,.298,.519,.817,6,1.06,0.020,-0.51,14.00,18.70,RF
15,1138,15,Apr 20,CIN,,COL,W6-5,CG,4,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.293,.311,.569,.880,5,1.47,0.359,2.26,19.00,25.20,RF
16,1139,16,Apr 21,CIN,,CHC,L0-16,CG,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.283,.313,.550,.863,5,.34,0.008,-0.21,2.00,3.00,RF
17,1140,17,Apr 22,CIN,,CHC,L1-8,CG,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.313,.540,.853,6,.72,-0.001,0.06,3.00,3.00,RF
18,1141,18,Apr 23,CIN,,CHC,W13-5,CG,4,2,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,.277,.324,.523,.847,5,.36,-0.021,0.09,6.00,9.20,RF
19,1142,19,Apr 24,CIN,,CHC,L0-9,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.265,.320,.500,.820,5,.14,-0.008,-0.49,2.00,3.00,RF
