Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
1,1111,1,Apr 4,CIN,,PHI,W6-2,CG,4,4,1,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,.250,.250,.250,.500,3,2.38,0.049,0.38,9.00,13.20,1B
2,1112,2,Apr 6,CIN,,PHI,W3-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.125,.125,.125,.250,3,2.34,-0.204,-0.96,0.00,0.00,1B
3,1113,3,Apr 7,CIN,,PHI,W10-6,CG,5,4,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.167,.231,.167,.397,3,.34,0.038,-0.06,9.00,12.40,1B
4,1114,4,Apr 8,CIN,,PIT,L5-6,CG,5,4,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.125,.222,.125,.347,3,1.16,0.010,0.51,4.00,6.50,1B
5,1115,5,Apr 9,CIN,,PIT,W5-1,CG,4,3,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.211,.318,.211,.529,3,.61,0.044,0.71,8.00,9.00,1B
6,1116,6,Apr 10,CIN,,PIT,W2-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,.174,.269,.174,.443,3,1.74,-0.254,-1.86,0.00,0.00,1B
7,1117,7,Apr 11,CIN,@,CHC,L3-5,CG,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.222,.300,.222,.522,3,.59,0.094,0.93,6.00,6.00,1B
8,1118,8,Apr 13,CIN,@,CHC,L2-9,CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.233,.324,.233,.557,3,.73,0.066,-0.03,5.00,6.00,1B
9,1119,9,Apr 14,CIN,@,CHC,L1-8,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.242,.342,.242,.585,3,1.12,-0.015,-0.08,5.00,6.00,1B
10,1120,10,Apr 15,CIN,@,STL,L3-14,GS-8,4,4,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,.243,.333,.324,.658,3,.58,0.176,2.03,18.00,25.70,1B
